iter	Passed	Remaining
0	69	20780
1	80	11987
2	90	8934
3	100	7406
4	109	6431
5	119	5878
6	129	5408
7	139	5076
8	148	4816
9	159	4616
10	169	4449
11	179	4314
12	189	4191
13	201	4106
14	211	4017
15	220	3921
16	232	3862
17	241	3776
18	251	3718
19	261	3658
20	270	3593
21	280	3546
22	290	3497
23	300	3453
24	309	3408
25	319	3370
26	328	3323
27	338	3292
28	349	3266
29	359	3239
30	369	3203
31	379	3176
32	388	3144
33	399	3123
34	408	3095
35	418	3065
36	427	3040
37	448	3094
38	458	3069
39	468	3045
40	480	3034
41	490	3010
42	500	2991
43	511	2974
44	521	2953
45	532	2941
46	542	2922
47	551	2896
48	561	2876
49	571	2857
50	583	2846
51	592	2828
52	601	2805
53	611	2787
54	622	2773
55	632	2756
56	643	2744
57	652	2723
58	662	2705
59	671	2687
60	681	2671
61	694	2667
62	703	2648
63	713	2632
64	723	2617
65	733	2599
66	742	2582
67	753	2570
68	764	2557
69	773	2541
70	782	2524
71	792	2511
72	802	2495
73	813	2485
74	824	2473
75	833	2456
76	843	2442
77	852	2425
78	863	2414
79	875	2406
80	885	2393
81	895	2381
82	908	2375
83	926	2383
84	943	2386
85	960	2389
86	971	2379
87	982	2366
88	992	2353
89	1002	2338
90	1011	2323
91	1022	2311
92	1031	2296
93	1041	2281
94	1051	2268
95	1062	2257
96	1073	2246
97	1083	2232
98	1093	2219
99	1102	2205
100	1113	2193
101	1123	2181
102	1133	2167
103	1143	2155
104	1154	2144
105	1163	2128
106	1172	2114
107	1182	2103
108	1192	2090
109	1202	2077
110	1213	2066
111	1223	2053
112	1233	2041
113	1243	2029
114	1254	2017
115	1264	2005
116	1273	1992
117	1283	1980
118	1295	1970
119	1305	1958
120	1315	1945
121	1325	1934
122	1337	1924
123	1345	1910
124	1356	1898
125	1366	1886
126	1376	1875
127	1386	1863
128	1397	1852
129	1408	1841
130	1418	1829
131	1427	1816
132	1439	1807
133	1449	1795
134	1460	1784
135	1471	1773
136	1481	1762
137	1492	1752
138	1504	1742
139	1514	1731
140	1527	1721
141	1540	1713
142	1550	1701
143	1562	1692
144	1572	1680
145	1583	1670
146	1594	1659
147	1604	1648
148	1614	1636
149	1625	1625
150	1636	1614
151	1646	1603
152	1657	1592
153	1668	1581
154	1678	1570
155	1690	1560
156	1700	1548
157	1711	1537
158	1722	1527
159	1733	1516
160	1744	1505
161	1756	1496
162	1769	1487
163	1782	1478
164	1794	1468
165	1805	1457
166	1814	1445
167	1827	1435
168	1838	1425
169	1852	1416
170	1862	1405
171	1874	1394
172	1887	1385
173	1896	1373
174	1906	1362
175	1918	1351
176	1928	1339
177	1937	1328
178	1949	1318
179	1959	1306
180	1971	1296
181	1981	1284
182	1991	1273
183	2001	1262
184	2012	1250
185	2022	1239
186	2032	1228
187	2043	1217
188	2053	1206
189	2064	1194
190	2074	1183
191	2085	1173
192	2095	1161
193	2105	1150
194	2117	1139
195	2126	1128
196	2135	1116
197	2145	1105
198	2157	1095
199	2168	1084
200	2178	1072
201	2188	1061
202	2198	1050
203	2208	1039
204	2220	1028
205	2228	1016
206	2239	1005
207	2248	994
208	2259	983
209	2270	972
210	2280	961
211	2291	951
212	2301	940
213	2312	929
214	2322	918
215	2333	907
216	2343	896
217	2356	886
218	2367	875
219	2377	864
220	2387	853
221	2399	843
222	2409	831
223	2419	820
224	2430	810
225	2440	799
226	2451	788
227	2460	777
228	2473	766
229	2484	756
230	2495	745
231	2506	734
232	2518	724
233	2528	713
234	2539	702
235	2550	691
236	2560	680
237	2573	670
238	2584	659
239	2595	648
240	2605	637
241	2615	626
242	2628	616
243	2638	605
244	2648	594
245	2658	583
246	2669	572
247	2680	561
248	2690	551
249	2702	540
250	2713	529
251	2723	518
252	2734	508
253	2745	497
254	2756	486
255	2767	475
256	2779	464
257	2789	454
258	2800	443
259	2810	432
260	2820	421
261	2831	410
262	2841	399
263	2851	388
264	2862	378
265	2872	367
266	2883	356
267	2893	345
268	2903	334
269	2915	323
270	2925	313
271	2935	302
272	2947	291
273	2957	280
274	2969	269
275	2979	259
276	2989	248
277	3000	237
278	3012	226
279	3022	215
280	3033	205
281	3045	194
282	3054	183
283	3066	172
284	3078	162
285	3088	151
286	3099	140
287	3110	129
288	3120	118
289	3132	108
290	3142	97
291	3156	86
292	3166	75
293	3177	64
294	3186	54
295	3198	43
296	3211	32
297	3221	21
298	3231	10
299	3243	0
